#OTU ID	CJ1_B_At	CJ1_S_At	LG1_B_At	LG1_S_At	LG2_S_At	SY1_B_At	SY1_S_At	SY2_B_At	SY2_S_At	WC1_B_At	WC1_S_At	WC2_B_At	WC2_S_At	W18_A	W19_A	W20_A	W21_A	W22_A	W23_A	W24_A	W25_A	W26_A	W27_A	W28_A	W29_A	W30_A	W31_A	W32_A	W33_A	W34_A	W35_A	W36_A	W37_A	W38_A	W39_A	W40_A	W41_A	W42_A	W43_A	W44_A	W45_A
DJ_BAC_ASV_290	0	0	38	21	30	46	46	0	0	0	44	47	0	27	0	41	0	0	22	14	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	12	0	6
DJ_BAC_ASV_448	27	25	23	16	16	64	52	17	9	0	4	21	0	6	15	8	8	5	18	0	16	7	9	5	0	2	0	2	0	3	3	3	7	5	0	1	0	0	0	2	0
DJ_BAC_ASV_58	0	5	10	3	7	0	9	0	0	0	8	6	5	41	21	25	18	27	25	13	18	6	12	6	7	11	8	5	7	10	6	8	5	7	0	1	17	8	20	0	13
DJ_BAC_ASV_120	20	9	0	0	2	0	0	28	18	31	0	6	12	8	55	24	12	0	12	20	22	7	4	0	0	0	0	3	0	0	0	3	10	2	3	3	0	18	53	5	7
DJ_BAC_ASV_1653	22	43	20	13	20	85	121	15	5	6	18	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_88	2	5	25	18	29	4	10	0	1	2	19	20	10	28	26	12	17	9	16	6	19	7	8	7	0	5	0	6	10	10	5	7	11	6	2	0	11	1	10	4	5
DJ_BAC_ASV_5809	0	0	46	42	81	17	20	7	0	3	50	102	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_345	13	69	0	0	0	9	0	0	250	42	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_1981	20	15	48	54	30	46	38	13	15	12	42	17	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_2205	27	31	23	20	24	54	85	20	21	12	20	25	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
DJ_BAC_ASV_2725	0	45	0	0	0	0	0	17	49	147	27	15	43	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6	0	0	11	0	0	0	1	0	0	0	0	9	0
DJ_BAC_ASV_421	11	36	14	13	21	32	56	15	11	0	8	26	7	15	20	0	12	8	11	0	10	2	7	3	0	5	0	3	0	7	5	7	0	0	0	0	3	4	2	0	4
DJ_BAC_ASV_185	0	0	21	19	12	3	0	0	0	16	13	7	6	11	18	9	0	0	13	19	10	9	14	9	4	0	3	3	6	12	8	10	25	13	11	18	11	11	12	3	18
DJ_BAC_ASV_393	21	36	23	16	17	29	33	13	17	7	9	27	10	19	0	18	0	24	18	9	9	0	0	0	0	0	0	0	5	0	0	5	11	0	0	0	0	0	0	0	0
HHN_BAC_ASV_94	0	38	38	53	77	21	44	0	0	0	30	35	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	292	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	56	90	0	81	74	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_1328	115	40	0	0	0	0	0	96	34	29	0	19	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_827	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	61	0	0	0	0	0	0	0	0	30	107	0	0	46	0	0	0	0
HHN_BAC_ASV_243	50	66	0	0	0	0	0	58	65	29	27	14	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_4788	0	103	6	0	0	0	0	27	144	35	6	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5
DJ_BAC_ASV_250	23	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	14	127	76	4	9	0	0	0	0	0	0	0	0	0	46	0	0	0	7	5	17	0	0
DJ_BAC_ASV_281	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	229	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_347	0	0	27	22	35	73	55	0	0	0	19	23	11	21	8	20	18	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DJ_BAC_ASV_901	0	0	45	27	31	0	0	0	0	40	56	21	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	14	16	0	10	15	0
DJ_BAC_ASV_247	0	0	0	0	3	0	0	0	0	0	4	3	0	16	4	104	16	9	11	11	40	9	8	3	1	15	0	0	5	0	3	6	0	5	0	12	29	7	6	2	12
